Unique IDof the institution,Level of student,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Native Hawaiian or Other Pacific
Islander",White,Two or more races,Race/ethnicity unknown,"Nonresident alien
-"
100654,Undergraduate,11,12,4742,36,10,137,210,11,38
100654,Graduate,4,11,961,7,1,151,14,3,33
100663,Undergraduate,36,743,3497,429,4,7515,522,198,364
100663,Graduate,26,471,1550,289,11,6437,269,176,659
100690,Undergraduate,0,2,195,44,1,66,0,123,0
100690,Graduate,2,1,152,43,4,93,0,142,0
100706,Undergraduate,90,304,813,313,3,5055,129,595,217
100706,Graduate,23,71,202,64,0,1518,20,115,365